Entity,Code,Year,Score
Finland,FIN,2017,7.7882519
Denmark,DNK,2017,7.5937023
Norway,NOR,2017,7.5787449
Iceland,ISL,2017,7.4762139
Switzerland,CHE,2017,7.4735932
Netherlands,NLD,2017,7.4589653
Israel,ISR,2017,7.3310361
New Zealand,NZL,2017,7.3271828
Austria,AUT,2017,7.2937279
Sweden,SWE,2017,7.2868047
Australia,AUS,2017,7.2570376
Costa Rica,CRI,2017,7.2251816
United Kingdom,GBR,2017,7.1032734
Germany,DEU,2017,7.0743246
Luxembourg,LUX,2017,7.0613809
Ireland,IRL,2017,7.0601554
United Arab Emirates,ARE,2017,7.0394197
United States,USA,2017,6.9917593
Belgium,BEL,2017,6.9283476
Czech Republic,CZE,2017,6.7895679
Malta,MLT,2017,6.6756659
France,FRA,2017,6.6352224
Panama,PAN,2017,6.5676589
Nicaragua,NIC,2017,6.4763565
Uzbekistan,UZB,2017,6.4214478
Mexico,MEX,2017,6.4102993
Singapore,SGP,2017,6.378438
Slovakia,SVK,2017,6.365509
Taiwan,TWN,2017,6.3594508
El Salvador,SLV,2017,6.3393183
Uruguay,URY,2017,6.33601
Brazil,BRA,2017,6.3329291
Guatemala,GTM,2017,6.3251185
Chile,CHL,2017,6.3201194
Saudi Arabia,SAU,2017,6.2942824
Lithuania,LTU,2017,6.2729406
Spain,ESP,2017,6.2301731
Bahrain,BHR,2017,6.2273207
Poland,POL,2017,6.2012682
Italy,ITA,2017,6.1988702
Trinidad and Tobago,TTO,2017,6.1918597
Mauritius,MUS,2017,6.1741176
Slovenia,SVN,2017,6.1668377
Colombia,COL,2017,6.157342
Kosovo,OWID_KOS,2017,6.1492
Kuwait,KWT,2017,6.0939054
Romania,ROU,2017,6.0899048
Hungary,HUN,2017,6.0650387
Cyprus,CYP,2017,6.0620513
Argentina,ARG,2017,6.03933
Honduras,HND,2017,6.0199857
Latvia,LVA,2017,5.9778175
Thailand,THA,2017,5.9388952
Estonia,EST,2017,5.938396
Japan,JPN,2017,5.9106765
Jamaica,JAM,2017,5.8897591
Kazakhstan,KAZ,2017,5.8823514
South Korea,KOR,2017,5.8738871
Ecuador,ECU,2017,5.8395185
Pakistan,PAK,2017,5.8308706
Tajikistan,TJK,2017,5.8292341
Portugal,PRT,2017,5.7114992
Peru,PER,2017,5.7109365
Bolivia,BOL,2017,5.6505527
Libya,LBY,2017,5.6468525
Kyrgyzstan,KGZ,2017,5.6295366
Montenegro,MNE,2017,5.6147985
Turkey,TUR,2017,5.6072621
Dominican Republic,DOM,2017,5.6052027
Philippines,PHL,2017,5.5942702
Russia,RUS,2017,5.578743
Belarus,BLR,2017,5.5529151
Ghana,GHA,2017,5.4813108
Hong Kong,HKG,2017,5.3624749
Croatia,HRV,2017,5.3431659
Mongolia,MNG,2017,5.3338504
Moldova,MDA,2017,5.3255305
Nigeria,NGA,2017,5.321928
Morocco,MAR,2017,5.3124828
Algeria,DZA,2017,5.2489123
Macedonia,MKD,2017,5.2338667
Turkmenistan,TKM,2017,5.2291489
Vietnam,VNM,2017,5.1752787
Lebanon,LBN,2017,5.1539898
Azerbaijan,AZE,2017,5.1522794
Greece,GRC,2017,5.1482415
Serbia,SRB,2017,5.1220312
China,CHN,2017,5.0990615
Indonesia,IDN,2017,5.0984015
Bulgaria,BGR,2017,5.0969019
Bosnia and Herzegovina,BIH,2017,5.0899024
Cameroon,CMR,2017,5.0740514
Cote d'Ivoire,CIV,2017,5.037735
Congo,COG,2017,4.8839912
Guinea,GIN,2017,4.8737226
Benin,BEN,2017,4.8531809
Jordan,JOR,2017,4.8080826
Gabon,GAB,2017,4.782383
Mali,MLI,2017,4.7418504
Nepal,NPL,2017,4.7366924
Iran,IRN,2017,4.716783
Senegal,SEN,2017,4.6830249
Mauritania,MRT,2017,4.6781597
Burkina Faso,BFA,2017,4.6468911
Albania,ALB,2017,4.6395483
Palestine,PSE,2017,4.6281328
Laos,LAO,2017,4.6231408
Niger,NER,2017,4.6156735
Cambodia,KHM,2017,4.5858421
Chad,TCD,2017,4.5589371
South Africa,ZAF,2017,4.5136552
Kenya,KEN,2017,4.4756541
Iraq,IRQ,2017,4.462399
Georgia,GEO,2017,4.4507747
Namibia,NAM,2017,4.4413061
Liberia,LBR,2017,4.4244909
Togo,TGO,2017,4.360805
Sri Lanka,LKA,2017,4.3309455
Ukraine,UKR,2017,4.3110671
Democratic Republic of Congo,COD,2017,4.3110332
Bangladesh,BGD,2017,4.3097711
Armenia,ARM,2017,4.2877364
Mozambique,MOZ,2017,4.2798634
Ethiopia,ETH,2017,4.1803155
Myanmar,MMR,2017,4.1543417
Tunisia,TUN,2017,4.1243429
Sierra Leone,SLE,2017,4.0895624
Madagascar,MDG,2017,4.0786204
India,IND,2017,4.0461111
Uganda,UGA,2017,4.0005169
Zambia,ZMB,2017,3.9327774
Egypt,EGY,2017,3.9293442
Haiti,HTI,2017,3.8238657
Zimbabwe,ZWE,2017,3.6383002
Botswana,BWA,2017,3.5048811
Central African Republic,CAF,2017,3.475862
Malawi,MWI,2017,3.416863
Tanzania,TZA,2017,3.3471212
Yemen,YEM,2017,3.2535601
South Sudan,SSD,2017,2.8166225
Afghanistan,AFG,2017,2.6617181
